Provider_Number,Hospital_Name,Address,City,State,ZIP_Code,County_Name,HBIPS-2_Overall_Rate_Per_1000,HBIPS-2_Overall_Num,HBIPS-2_Overall_Den,HBIPS-3_Overall_Rate_Per_1000,HBIPS-3_Overall_Num,HBIPS-3_Overall_Den,HBIPS-5_Overall_%_of_Total,HBIPS-5_Overall_Num,HBIPS-5_Overall_Den,HBIPS-6_Overall_%_of_Total,HBIPS-6_Overall_Num,HBIPS-6_Overall_Den,HBIPS-7_Overall_%_of_Total,HBIPS-7_Overall_Num,HBIPS-7_Overall_Den,SUB-1_%,SUB-1_Numerator,SUB-1_Denominator,TOB-1_%,TOB-1_Numerator,TOB-1_Denominator,TOB-2_%,TOB-2_Numerator,TOB-2/-2a_Denominator,TOB-2a_%,TOB-2a_Numerator,TOB-2/-2a__Denominator,PEoC_Measure_Description,PEoC_Assessed_Response,EHR_Use_Response,HIE_Response,FUH-30_%,FUH-30_Numerator,FUH-30_Denominator,FUH-7_%,FUH-7_Numerator,FUH-7_Denominator,IMM-2_%,IMM-2_Numerator,IMM-2_Denominator,HCP_%,HCP_Numerator,HCP_Denominator
10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE ,GADSDEN,AL,35903,Etowah,-0.055606663729009805,0.0,4165.0,-0.04427325161065635,0,4165,,Not Available,Not Available,0.06441622784682928,201,222,-0.1544269473981111,179,222,0.4905413398075372,296,297,0.44404585298775223,296,296,0.45663784913690153,37,46,,Not Available,Not Available,Assessment of Patient Experience of Care,No,Paper or Other Form,No,-1.4861383341315009,14,39,,Not Available,Not Available,0.7382948352579394,145,145,,Not Available,Not Available
10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET ,GADSDEN,AL,35901,Etowah,-0.055606663729009805,0.0,1797.0,-0.03758563908535685,7.33,1797,,Not Available,Not Available,0.17395688418898883,125,135,-0.0800875669100149,111,135,-0.7462442633803021,95,128,0.17817492749445868,123,128,0.0789092743810977,16,23,,Not Available,Not Available,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,0.22457985761306865,24,41,,Not Available,Not Available,0.010491859424384298,63,78,-1.074964802981435,350,608
10062,WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE ,GENEVA,AL,36340,Geneva,-0.055606663729009805,0.0,4500.0,-0.04427325161065635,0,4500,-1.280046543987872,14,39,0.5699062810160147,62,62,0.6053308720557008,62,64,0.5070707071457397,64,64,0.44404585298775223,64,64,-1.3812238350340609,64,232,-1.3486953943795645,0,232,Assessment of Patient Experience of Care,No,Paper or Other Form,No,0.040209169103495083,23,41,,Not Available,Not Available,,Not Available,Not Available,,Not Available,Not Available
10069,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST ,EUFAULA,AL,36027,Barbour,-0.055606663729009805,0.0,2355.0,-0.04427325161065635,0,2355,0.9816235084264955,11,11,0.5699062810160147,233,233,0.7512043733908328,233,233,0.5070707071457397,233,233,0.44404585298775223,233,233,-0.4003816795908146,130,233,0.25255423219002704,103,233,Assessment of Patient Experience of Care,No,Certified EHR Technology,Yes,,Not Available,Not Available,,Not Available,Not Available,0.7382948352579394,111,111,,Not Available,Not Available
10078,NORTHEAST ALABAMA REGIONAL MED CENTER,400 EAST 10TH STREET ,ANNISTON,AL,36207,Calhoun,-0.05325299655689652,8.0,5616.0,-0.034831916280821766,32.5,5616,,Not Available,Not Available,0.5549446303936709,358,359,0.6993070700312186,355,359,0.49588907629930856,432,433,0.19245444011686022,416,432,0.8684524278761931,179,194,,Not Available,Not Available,Assessment of Patient Experience of Care,No,Paper or Other Form,No,-1.1763351280293481,56,140,-0.8049000212298524,32,140,0.658437098440009,278,284,-0.3246963030196411,35,48
10085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,1201 7TH STREET SE ,DECATUR,AL,35601,Morgan,-0.055606663729009805,0.0,13624.0,-0.04427325161065635,0,13624,,Not Available,Not Available,-0.40527273276174847,681,833,-0.21988300568951602,660,833,0.32767845573995646,235,244,0.3311697055916226,237,241,-2.340849192079421,0,114,-1.3486953943795645,0,114,Assessment of Patient Experience of Care,No,Paper or Other Form,No,0.7814700110210842,58,88,0.7703699352450705,37,88,-0.29644948919808733,210,289,-0.8248753029941701,102,163
10086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43 P O BOX 130,WINFIELD,AL,35594,Fayette,-0.055606663729009805,0.0,2739.0,-0.04427325161065635,0,2739,,Not Available,Not Available,0.5164718145076441,199,201,0.704450046039829,199,201,0.5070707071457397,189,189,0.44404585298775223,191,191,0.6402848910071259,36,42,1.2384401140091699,30,42,Assessment of Patient Experience of Care,No,Paper or Other Form,No,-0.9602285013337003,12,28,,Not Available,Not Available,0.7382948352579394,89,89,-0.12462470302982939,92,119
10089,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST ,JASPER,AL,35502,Walker,-0.054822108004972045,10.23,21734.0,-0.04427325161065635,0,21734,0.6287888668641917,27,30,0.2818945065358972,439,464,0.41878110592519574,431,464,0.38553124142366424,506,519,0.3236899608846502,499,508,0.8420183839706308,291,318,1.0772647953429249,213,318,Assessment of Patient Experience of Care,Yes,Certified EHR Technology,Yes,-0.5559730982491841,81,168,-0.43386196999136084,46,168,0.7065031296053034,235,237,-0.22466050302473523,27,36
10091,GROVE HILL MEMORIAL HOSPITAL,295 SOUTH JACKSON ST ,GROVE HILL,AL,36451,Clarke,-0.055606663729009805,0.0,1636.0,-0.04427325161065635,0,1636,,Not Available,Not Available,-2.3011276044787365,62,134,-2.7380710768145806,34,134,0.22704377812207763,131,139,0.20265409199000486,136,141,-0.353426470021723,16,28,,Not Available,Not Available,Assessment of Patient Experience of Care,No,Certified EHR Technology,No,,Not Available,Not Available,,Not Available,Not Available,-1.8035277262075595,22,67,-0.924911102989076,17,28
10092,D C H REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST ,TUSCALOOSA,AL,35401,Tuscaloosa,0.00794234991804872,498.26,12806.0,-0.03207819347628668,94.32,12806,,Not Available,Not Available,0.1857124668208303,516,556,0.12890427634897206,482,556,0.4166453446485156,264,269,0.3950875239966598,274,276,0.3585536335925767,104,134,0.894720164763627,83,134,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,-1.49369450989009,58,162,-1.161162220870351,30,162,0.6788746235024179,125,127,-1.3250543029686994,43,81
10101,CITIZENS BMC,604 STONE AVENUE ,TALLADEGA,AL,35160,Talladega,-0.04736882862661333,23.7,4684.0,-0.04427325161065635,0,4684,0.9816235084264955,11,11,0.4726555519707806,269,274,0.6319808386457733,267,274,0.43268855412382945,258,262,0.0659787568898714,238,252,0.05038833227246453,33,48,-0.21684624644245226,15,48,Assessment of Patient Experience of Care,Yes,Certified EHR Technology,Yes,,Not Available,Not Available,,Not Available,Not Available,0.7382948352579394,109,109,-1.8752512029406814,15,36
10103,BAPTIST MEDICAL CENTER-PRINCETON,701 PRINCETON AVENUE SOUTHWEST ,BIRMINGHAM,AL,35211,Jefferson,-0.055606663729009805,0.0,28148.0,-0.04427325161065635,0,28148,,Not Available,Not Available,-0.433058655346101,225,277,-0.3966143630763104,209,277,0.49783370775086205,536,537,-0.4528435350573999,441,508,0.6055032542892803,72,85,0.5687476101577387,45,85,Assessment of Patient Experience of Care,Yes,Certified EHR Technology,Yes,,Not Available,Not Available,,Not Available,Not Available,-0.19426186388604366,104,138,-1.9252691029381344,24,58
10104,TRINITY MEDICAL CENTER,3690 GRANDVIEW PARKWAY ,BIRMINGHAM,AL,35243,Jefferson,-0.05089932938478325,9.81,3324.0,-0.04348647366650347,1.92,3324,0.9816235084264955,21,21,0.5699062810160147,222,222,0.7512043733908328,222,222,0.5070707071457397,160,160,0.44404585298775223,161,161,1.13731447970514,28,28,0.20365834899914376,12,28,Assessment of Patient Experience of Care,No,Certified EHR Technology,No,,Not Available,Not Available,,Not Available,Not Available,0.7382948352579394,108,108,-0.02458890303492357,62,78
10109,PICKENS COUNTY MEDICAL CENTER,241 ROBERT K WILSON DRIVE ,CARROLLTON,AL,35447,Pickens,-0.055606663729009805,0.08,2053.0,-0.04427325161065635,0,2053,,Not Available,Not Available,0.5699062810160147,99,99,-0.09878929785041667,81,99,0.35004171743281803,30,31,0.44404585298775223,45,45,,Not Available,Not Available,,Not Available,Not Available,Assessment of Patient Experience of Care,Yes,Paper or Other Form,Yes,,Not Available,Not Available,,Not Available,Not Available,0.7382948352579394,40,40,0.42557219694215265,21,24
10110,BULLOCK COUNTY HOSPITAL,102 CONECUH AVENUE WEST ,UNION SPRINGS,AL,36089,Bullock,-0.055606663729009805,0.0,4480.0,0.004113591954745887,132,4480,-2.5467229071965427,0,143,-1.3515971346249913,399,623,-1.1774116298380741,366,623,-2.369039209701453,243,595,-0.04757736729780152,552,595,-2.340849192079421,0,324,-1.3486953943795645,0,324,Assessment of Patient Experience of Care,No,Paper or Other Form,No,-1.9236409105538088,28,93,-1.357352694865925,15,93,-0.3138592327697686,200,277,-1.8252333029432286,19,44
10112,BRYAN W. WHITFIELD MEMORIAL HOSPITAL,105 HIGHWAY 80 EAST ,DEMOPOLIS,AL,36732,Marengo,-0.055606663729009805,0.02,2237.0,-0.04427325161065635,0,2237,,Not Available,Not Available,0.27281064722947407,136,144,0.4912503133192515,136,144,0.10210120735978444,11,12,-0.12237481436752573,11,12,,Not Available,Not Available,,Not Available,Not Available,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,1.258264701388056,26,36,1.1947652283652037,17,36,,Not Available,Not Available,,Not Available,Not Available
10113,MOBILE INFIRMARY MEDICAL CENTER,5 MOBILE INFIRMARY CIRCLE ,MOBILE,AL,36607,Mobile,-0.007748764562706477,298.19,10194.0,-0.025783969923063626,115.27,10194,-2.5467229071965427,0,20,-4.464154808737578,21,363,-3.7311329897499017,15,363,0.2513516712664927,468,494,0.38964770966431633,493,497,0.18881924640949022,152,209,-0.18750871652792223,67,209,Assessment of Patient Experience of Care,No,Certified EHR Technology,Yes,-1.028234083161002,47,112,-0.8492275760238314,25,112,0.6993121485648264,289,292,-3.7259135028464394,56,1052
10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",995 9TH AVENUE SOUTHWEST ,BESSEMER,AL,35022,Jefferson,0.14484732376263776,620.8,5065.0,-0.04427325161065635,0,5065,-1.0087167046264602,17,39,0.47318989663586375,435,443,0.6665790408855158,435,443,0.4341470277124944,329,334,0.4093670366190614,390,392,0.17768912265977935,42,58,0.1500539733528422,24,58,Assessment of Patient Experience of Care,No,Certified EHR Technology,Yes,0.1603523636650613,15,26,,Not Available,Not Available,0.42302708753596785,187,204,-1.3250543029686994,19,36
10125,LAKELAND COMMUNITY HOSPITAL,PO BOX 780 ,HALEYVILLE,AL,35565,Winston,-0.055606663729009805,0.0,1363.0,-0.04427325161065635,0,1363,,Not Available,Not Available,0.5699062810160147,106,106,0.7512043733908328,106,106,0.45894107871979806,100,101,0.44404585298775223,101,101,0.4416817453482277,24,30,0.7038451244555125,17,30,Assessment of Patient Experience of Care,No,Certified EHR Technology,Yes,-0.8740880976857847,11,25,,Not Available,Not Available,0.7382948352579394,44,44,0.42557219694215265,105,119
10129,NORTH BALDWIN INFIRMARY,1815 HAND AVENUE ,BAY MINETTE,AL,36507,Baldwin,-0.055606663729009805,0.0,4275.0,-0.042699695722350585,4.47,4275,,Not Available,Not Available,-0.03817794784924232,257,290,-0.44196606060678406,216,290,0.48956902408176084,279,280,0.3957675007882031,278,280,,Not Available,Not Available,,Not Available,Not Available,Assessment of Patient Experience of Care,No,Certified EHR Technology,Yes,0.5585628261427065,17,27,,Not Available,Not Available,0.4858535534685575,126,135,0.225500596952341,360,427
10139,BROOKWOOD MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE ,BIRMINGHAM,AL,35209,Jefferson,-0.04776110648863221,162.3,34319.0,-0.04427325161065635,2.92,34319,,Not Available,Not Available,-0.46832540324162614,825,1024,-1.1573072690771424,606,1024,0.3908789779154355,777,796,0.38488787212351516,794,801,-1.0907971684400501,170,473,-0.20018542698481792,150,473,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,-0.7645235491862427,185,407,-0.9871355242717662,84,407,-1.4057529328632714,101,233,-0.7748574029967172,990,1555
10146,RMC JACKSONVILLE,1701 SOUTH PELHAM ROAD ,JACKSONVILLE,AL,36265,Calhoun,-0.055606663729009805,0.0,3052.0,-0.04427325161065635,0,3052,,Not Available,Not Available,0.3935725415383919,176,182,0.34023383597550905,166,182,0.13321531058463576,156,169,0.44404585298775223,168,168,-0.02195747210065428,12,18,0.8646582513944174,11,18,Assessment of Patient Experience of Care,No,Certified EHR Technology,Yes,,Not Available,Not Available,,Not Available,Not Available,0.5925828510166922,75,78,0.6756616969294172,28,30
10150,L V STABLER MEMORIAL HOSPITAL,29 L V STABLER DRIVE ,GREENVILLE,AL,36037,Butler,-0.055606663729009805,0.0,2762.0,-0.04427325161065635,0,2762,,0,0,0.5699062810160147,200,200,0.7512043733908328,200,200,0.5070707071457397,204,204,0.44404585298775223,204,204,1.13731447970514,24,24,,Not Available,Not Available,Assessment of Patient Experience of Care,No,Paper or Other Form,No,,Not Available,Not Available,,Not Available,Not Available,0.7382948352579394,89,89,-0.27467840302218816,26,35
10157,SHOALS HOSPITAL,201 WEST AVALON AVENUE ,MUSCLE SHOALS,AL,35661,Colbert,-0.05129160724680212,12.58,4775.0,-0.039945972917815493,12.58,4775,,Not Available,Not Available,0.12800324299179017,233,254,0.2542058736496626,227,254,0.49248597125909077,335,336,0.34272931104785287,330,335,-0.0021319391714825177,39,58,0.39996626521735656,28,58,Assessment of Patient Experience of Care,Yes,Non-Certified EHR Technology,Yes,0.6099448213011122,35,55,-0.44289165707902317,15,55,0.7174788375091898,180,181,1.0257869969115876,48,48
10164,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST ,SYLACAUGA,AL,35150,Talladega,-0.055606663729009805,0.0,4905.0,-0.04427325161065635,0,4905,,Not Available,Not Available,-1.1047298993563197,184,268,-0.7318428901830077,183,268,0.4253961861805047,234,238,0.41548682774294815,238,239,,Not Available,Not Available,,Not Available,Not Available,Assessment of Patient Experience of Care,Yes,Paper or Other Form,Yes,0.2087118885200315,14,24,,Not Available,Not Available,-1.2044054637299115,55,113,-0.22466050302473523,739,983
14000,HILL CREST BEHAVIORAL HEALTH SERVICES,6869 5TH AVENUE SOUTH ,BIRMINGHAM,AL,35212,Jefferson,-0.05521438586699092,6.1,24648.0,-0.04427325161065635,0,24648,0.9816235084264955,31,31,0.5699062810160147,554,554,0.7427885944676518,553,554,0.5070707071457397,377,377,0.4256864796160928,376,377,1.13731447970514,270,270,-0.46349881276090776,66,270,Assessment of Patient Experience of Care,Yes,Paper or Other Form,Yes,-1.1763351280293481,16,40,,Not Available,Not Available,0.5573848911869881,319,335,-1.3250543029686994,237,446
14006,MOUNTAIN VIEW HOSPITAL,3001 SCENIC HIGHWAY ,GADSDEN,AL,35904,Etowah,-0.029716324835763742,146.5,9209.0,-0.04348647366650347,4.76,9209,,Not Available,Not Available,0.5576163537190892,869,871,0.6651764110649857,855,871,,Not Available,Not Available,,Not Available,Not Available,,Not Available,Not Available,,Not Available,Not Available,Assessment of Patient Experience of Care,No,Paper or Other Form,No,-0.5801528606766692,34,71,-0.946912372699452,15,71,,Not Available,Not Available,,Not Available,Not Available
14007,BRYCE HOSPITAL,1651 RUBY TYLER PARKWAY ,TUSCALOOSA,AL,35404,Not Available,-0.03481593704200917,424.62,33624.0,-0.04151952880612126,53.85,33625,0.6414909139604346,75,83,0.5463951157523318,226,227,0.7306324693563913,226,227,0.34226319162660535,171,177,-1.9379128477872047,115,177,0.12273413664558334,34,48,0.7639689511939318,28,48,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,,Not Available,Not Available,,Not Available,Not Available,-0.005025520715592562,45,56,-0.8748932029916231,466,757
14012,MARY S HARPER GERIATRIC PSYCHIATRY CENTER,200 UNIVERSITY BLVD ,TUSCALOOSA,AL,35401,Tuscaloosa,-0.0536452744189154,44.32,36567.0,-0.04073275086196838,81.77,36567,0.9816235084264955,17,17,0.38769475022247113,255,264,0.59177211712391,255,264,0.41518687105985064,156,159,0.3678884523349414,177,179,0.5575045956186535,25,30,,Not Available,Not Available,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,-0.6723382049314559,21,45,-0.49214449573899977,12,45,-0.2430848404240203,60,81,-0.22466050302473523,228,303
14014,BAYPOINTE BEHAVIORAL HEALTH,5800 SOUTHLAND DRIVE ,MOBILE,AL,36693,Mobile,-0.04854566221266997,40.13,9227.0,-0.0419129177781977,13.21,9227,-1.7235596884316882,14,60,0.5699062810160147,1086,1086,0.7512043733908328,1086,1086,-2.485717096794646,133,346,-6.355722062441757,0,346,-2.340849192079421,0,346,-1.3486953943795645,0,346,Assessment of Patient Experience of Care,No,Non-Certified EHR Technology,No,,Not Available,Not Available,,Not Available,Not Available,-3.0464320281510826,0,498,-0.8248753029941701,245,386
14015,BEACON CHILDREN'S HOSPITAL,150 HOSPITAL DRIVE ,LUVERNE,AL,36049,Crenshaw,-0.05129160724680212,13.07,4974.0,-0.04387986263857991,.8,4974,,Not Available,Not Available,0.556013319723838,385,386,0.7147359980570498,383,386,0.5070707071457397,26,26,0.44404585298775223,26,26,,Not Available,Not Available,,Not Available,Not Available,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,,Not Available,Not Available,,Not Available,Not Available,0.7053677115462806,227,229,-2.575501802905022,32,116
14016,"SANCTUARY AT THE WOODLANDS, THE","1910 CHEROKEE AVENUE, SW ",CULLMAN,AL,35055,Cullman,-0.055606663729009805,0.0,5885.0,-0.04427325161065635,0,5885,,Not Available,Not Available,0.5100596785266394,353,357,0.5155625635417734,339,357,0.5070707071457397,357,357,0.44404585298775223,357,357,1.13731447970514,164,164,1.809616468024154,143,164,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,-0.769812872217255,54,119,-1.3015328110512847,20,119,0.3760964744296962,208,230,0.9257511969166818,119,122
14017,EASTPOINTE HOSPITAL,7400 ROPER LANE ,DAPHNE,AL,36526,Baldwin,-0.054822108004972045,9.47,16428.0,-0.015949245621152602,285.71,16428,-0.7825496993850237,153,306,0.5699062810160147,1350,1350,0.7512043733908328,1350,1350,-0.8468789409981803,1052,1458,-6.355722062441757,0,1458,-2.340849192079421,0,1458,-1.3486953943795645,0,1458,Assessment of Patient Experience of Care,Yes,Non-Certified EHR Technology,No,-0.29906312245715516,96,186,-0.4305784474140288,51,186,-3.0464320281510826,0,598,-0.7248395029992644,260,403
14018,"BEHAVIORAL HEALTHCARE CENTER AT HUNTSVILLE, INC","5315 MILLENIUM DRIVE, NW ",HUNTSVILLE,AL,35806,Madison,-0.055606663729009805,0.0,3236.0,-0.04427325161065635,0,3236,,Not Available,Not Available,0.45609086735318555,184,188,0.4529117648914287,176,188,0.4322023962609409,128,130,0.2869712141413304,127,130,,Not Available,Not Available,,Not Available,Not Available,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,,Not Available,Not Available,,Not Available,Not Available,0.05893636327601982,64,78,-1.7752154029457756,34,78
20008,BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DR ,JUNEAU,AK,99801,Juneau,-0.02265532331942391,57.79,2874.0,-0.04427325161065635,0,2874,,Not Available,Not Available,-0.2016874153648564,154,180,-0.9632768105704766,114,180,-1.425892955698148,153,254,0.3651685451687701,255,258,1.0816638609565872,123,125,1.2301097042803526,89,125,Assessment of Patient Experience of Care,Yes,Non-Certified EHR Technology,No,-1.135531778932967,15,37,,Not Available,Not Available,0.5365688934382385,160,169,0.225500596952341,32,38
24001,NORTH STAR HOSPITAL,2530 DEBARR RD ,ANCHORAGE,AK,99508,Anchorage,-0.05246844083285876,61.4,30786.0,-0.017129412537381927,507.7,30786,,Not Available,Not Available,0.42135846412274436,769,791,0.4851722507636212,746,791,0.38844818860099417,40,41,0.44404585298775223,41,41,-0.5189870607986681,11,21,,Not Available,Not Available,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,,Not Available,Not Available,,Not Available,Not Available,0.2379539439152667,394,454,-1.4751080029610582,255,513
24002,ALASKA PSYCHIATRIC INSTITUTE,2800 PROVIDENCE DRIVE ,ANCHORAGE ,AK,99508,Not Available,0.11032687190497634,2356.97,23220.0,-0.003754187486782931,575.68,23220,,Not Available,Not Available,0.5699062810160147,1373,1373,0.21680241176885898,1216,1373,-0.2834219779106391,793,947,-1.140300071307323,757,987,-2.340849192079421,0,513,-1.3486953943795645,0,513,Assessment of Patient Experience of Care,Yes,Paper or Other Form,No,-0.8453746298031459,71,160,-0.885346324374481,35,160,-1.1120581282627315,253,495,-0.12462470302982939,264,341
30002,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,1111 E. MCDOWELL RD. ,PHOENIX,AZ,85006,Not Available,-0.05442983014295316,11.37,16763.0,-0.04427325161065635,0,16763,,Not Available,Not Available,0.30914608445516645,195,205,0.4304696877629467,190,204,0.24454546118605647,543,574,0.30193070355527524,562,574,-1.5196547491710863,68,288,-0.7702752058177827,46,288,Assessment of Patient Experience of Care,Yes,Certified EHR Technology,Yes,0.09461363456533643,25,44,0.8631294480546936,19,44,0.7083954930370078,125,126,0.7756974969243231,62,65
